user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,document_id
Quem precisa assinar a autodeclaração dizendo que pertence ao grupo racial negro no vestibular da UDESC?,"['## Chunk 1\n```\nArt. 1º O caput do artigo 8° da Resolução n° 017/2011 – CONSUNI, passa a ter a seguinte redação, ficando suprimidos os parágrafos 1° e 2°: “\n\nArt. 8º Os candidatos classificados no vestibular para as vagas a que se refere o inciso II do art. 6º deverão assinar a autodeclaração de que são pertencentes ao grupo racial negro.”.\n\nArt. 2º O caput e os parágrafos 3° e 4° do artigo 9° da Resolução n° 017/2011 – CONSUNI, passam a ter a seguinte redação, ficando suprimidos os parágrafos 1° e 5° do mesmo artigo, nos seguintes termos: “', 'Art. 9º A Comissão de Verificação se formará caso haja denúncias, para apurar os fatos denunciados e fornecer relatório à Pró-Reitoria de Extensão, Cultura e\nComunidade.\n§ 1º - Cada Comissão será constituída por 3 (três) membros e 1 (um) suplente.\n§ 2º - Poderão integrar a comissão professores e técnicos universitários da UDESC que participem de discussões sobre inclusão social, relações étnico-raciais e/ou tenham interesse de pesquisa ou extensão nessas áreas, bem como membros da comunidade que participem de associações, órgãos ou instituições ligados a questões étnico-raciais.\n§ 3º - Caberá à Pró-Reitoria de Extensão, Cultura e Comunidade a composição da\nComissão de Verificação.”. (NR)\n\nArt. 3º Esta Resolução entra em vigor nesta data.']",Os candidatos classificados no vestibular para as vagas a que se refere o inciso II do art. 6º.,Os candidatos classificados nas vagas destinadas a pessoas negras precisam assinar a autodeclaração.,1.0,0.8359170797322738,0.9999999999,1.0,0.21728536732870896,067-2013-cni
Quem pode pedir o regime especial de atendimento domiciliar na UDESC?,"['Art. 3º A Fundação Universidade do Estado de Santa Catarina - UDESC, de acordo com as condições disponíveis e conforme o conteúdo curricular da disciplina, poderá conceder as atividades domiciliares com acompanhamento, para seus acadêmicos que assim o requeiram, nos moldes desta\nResolução.\n\nArt. 4º O regime especial de atendimento domiciliar deve ser solicitado pelo acadêmico ou procurador quando da observação do problema que impede o acadêmico de manter frequência normal em aula, não sendo concedido em hipótese alguma para data retroativa à data do início do impedimento.\nParágrafo único. Disciplinas de caráter prático e estágios não poderão ter atendimento domiciliar temporário.', 'Art. 12. O Chefe de Departamento do curso e professor da disciplina terão 3 (três) dias úteis, contados do recebimento da Secretaria de Ensino de Graduação, para emitir parecer sobre as disciplinas em que será possível aplicar o plano de estudos.\nArt. 13. Mediante justificativa fundamentada, a chefia do departamento poderá indeferir a solicitação que será comunicado ao acadêmico pela Secretaria de Ensino de Graduação.\nArt. 14. A concessão do regime especial de atendimento domiciliar será por semestre em que o acadêmico estiver matriculado, de acordo com o Calendário Acadêmico da UDESC.']",O regime especial de atendimento domiciliar deve ser solicitado pelo acadêmico ou procurador.,"Podem solicitar estudantes em licença maternidade, em situações excepcionais com atestado médico, ou acadêmicos com condições de saúde que impeçam a frequência às aulas, como tratamentos, infecções, traumatismos ou outras afecções comprovadas por profissional de saúde.",1.0,0.9496577616383204,0.0,0.0,0.4013960097356785,002-2019-cpe
Que tipos de atividades podem contar como Atividades Complementares na UDESC?,"['Resolução nº 11/2021-CEG) § 2º No caso dos alunos enquadrados na modalidade de Transferência Interna,\nReingresso após Abandono e Reingresso por novo concurso vestibular, é possível validar o total das Atividades Complementares já realizadas, desde que atenda ao restante da\nResolução. (excluído pela Resolução nº 11/2021-CEG) § 3º Disciplinas já validadas para aproveitamento de estudos não podem ser consideradas para atividades complementares. (excluído pela Resolução nº 11/2021-CEG) § 4º Somente serão validadas atividades desenvolvidas após o ingresso do aluno no curso de graduação da UDESC, com exceção do que está mencionado no § 1º e § 2º deste artigo. (excluído pela Resolução nº 11/2021-CEG)', 'Art. 4º O aluno poderá realizar as Atividades Complementares da primeira a última fase de seu curso, respeitando o estabelecido no Projeto Pedagógico do curso.\nParágrafo Único – Os(as) acadêmicos(as) das modalidades de transferência interna, reingresso após abandono, ingresso e reingresso por novo concurso vestibular, transferência externa e retorno aos portadores de diploma de curso poderão validar o total das ACC já realizadas, desde que atenda aos demais critérios da Resolução. (incluído pela\nResolução nº 11/2021-CEG) § 1º No caso dos alunos enquadrados nas modalidades de Transferência Externa e\nRetorno aos Portadores de Diploma de Curso de Graduação é possível validar na UDESC até 25% das Atividades Complementares realizadas na IES de origem. (excluído pela']",Não foi possível encontrar a informação no contexto fornecido.,"Podem ser atividades de ensino, pesquisa, extensão, administração universitária ou mistas que integrem teoria e prática, conforme previsto na regulamentação.",0.0,0.0,0.0,0.0,0.20247317478229,026-2012-cpe
Como o aluno valida uma atividade de extensão na UDESC?,"['Art. 5º O prazo para solicitar a validação das atividades complementares, via sistema acadêmico, deverá ocorrer 10 dias após o início do período letivo e, no mínimo, 20 dias antes da finalização do período letivo, conforme calendário acadêmico da UDESC.\nParagrafo único: As atividades complementares, assim como as atividades de creditação de extensão possuem similaridades, todavia, o acadêmico só poderá validar cada atividade uma única vez, escolhendo em qual componente curricular irá validar: ou atividades complementares ou creditação da extensão.\n(incluído pela Resolução nº 3/2022-CEG)', 'Resolução nº 11/2021-CEG) § 2º No caso dos alunos enquadrados na modalidade de Transferência Interna,\nReingresso após Abandono e Reingresso por novo concurso vestibular, é possível validar o total das Atividades Complementares já realizadas, desde que atenda ao restante da\nResolução. (excluído pela Resolução nº 11/2021-CEG) § 3º Disciplinas já validadas para aproveitamento de estudos não podem ser consideradas para atividades complementares. (excluído pela Resolução nº 11/2021-CEG) § 4º Somente serão validadas atividades desenvolvidas após o ingresso do aluno no curso de graduação da UDESC, com exceção do que está mencionado no § 1º e § 2º deste artigo. (excluído pela Resolução nº 11/2021-CEG)']",Não foi possível encontrar a informação no contexto fornecido.,"Entregando o formulário assinado pelo coordenador da ação à Coordenação de UCE, que registra os créditos.",0.0,0.0,0.0,0.0,0.20347275023798106,"001-2022-ceg, 026-2012-cpe"
Qual é a média mínima para um aluno ser aprovado na UDESC?,"['Ensino de Graduação para registro e encaminhamento à Chefia de Departamento para análise e parecer. (redação dada pela Resolução nº 27/2019-CONSEPE) (suprimido pela Resolução nº 8/2022-CEG)\nArt. 4º O(A) discente de graduação da UDESC deve matricular-se, por semestre, em um número de créditos igual ou inferior ao definido na fórmula abaixo:\nMaxM = MaxF x 1,25, onde:\nMaxM = número máximo de créditos que um(a) discente pode cursar por semestre;\nMaxF = número de créditos da fase com maior carga horária da matriz curricular vigente do curso, excluindo-se os créditos de disciplinas de estágio e trabalho de conclusão de curso.', 'Art. 6º - A aprovação em Exame de Suficiência de uma disciplina dispensa o aluno de cursá-la na forma regular, sendo-lhe atribuídos os respectivos créditos.\n\nArt. 7º - A Direção Geral do Centro, anualmente, obedecendo ao prazo estabelecido no\nCalendário Acadêmico da UDESC, expedirá edital de chamada para o referido Exame, indicando:\nI. Disciplinas ofertadas para avaliação nesta modalidade;\nII. Período e requisitos para inscrição;\nIII. Data de divulgação das inscrições deferidas e indeferidas.\n\nArt. 8º - O aluno interessado em realizar Exame de Suficiência deverá efetuar a inscrição junto à Secretaria Acadêmica do Centro.']",Não foi possível encontrar a informação no contexto fornecido.,"Média 7,0 e frequência mínima de 75%.",0.0,0.0,0.0,0.0,0.200939958794074,"005-2014-cpe, 032-2004-cpe"
Qual é o valor de um crédito nas disciplinas da graduação?,"['Ensino créditos (máximo de 08 créditos no curso)\nENS 14\nPublicação de capítulo em livros dedicados ao Cada capítulo equivale a 02 créditos\nEnsino. (máximo de 06 créditos no curso)\nENS 15\nATIVIDADES COMPLEMENTARES DE EXTENSÃO\nAtividades Créditos da Disciplina\nParticipação em Cursos de extensão, presencial ou a Cada 18 horas de participação distância, que tenham relação com o curso, equivale a 01 crédito (máximo de 04 créditos no curso)\nEXT 01\nParticipação em eventos culturais, técnicos, científicos, Cada participação em evento artísticos, esportivos e recreativos, que não sejam equivale a 01 crédito ou 18 h/a oriundas de atividades de disciplinas curriculares. (máximo de 04 créditos no curso)\nEXT 02', 'ENS 06\nExcesso de créditos em Disciplinas Os créditos da disciplina (máximo de 08\nEletivas/Optativas. créditos no curso)\nENS 07\nCurso de Línguas. Cada 30 horas equivale a 01 crédito (máximo de 06 créditos no curso)\nENS 08\nDisciplinas não previstas no currículo pleno que Cada 15 horas de participação equivale a tenham relação com o curso, realizadas no exterior. 01 crédito (máximo de 08 créditos, no curso)\nENS 09\nRes. 026/2012-CONSEPE, fl. 4 de 13\nParticipação em eventos de monitoria e outros que Cada evento equivale a 01 crédito tenham relação com o ensino de graduação, e que (máximo de 04 créditos no curso) não sejam oriundas de atividades de disciplinas curriculares. Com comprovante de participação expedido pela organização do evento.\nENS 10']",Não foi possível encontrar a informação no contexto fornecido.,Cada crédito corresponde a 18 horas de atividades.,0.0,0.0,0.9999999999,1.0,0.20237200707265063,"001-2022-ceg, 026-2012-cpe"
Quantas disciplinas isoladas podem ser cursadas por semestre na UDESC?,"['Art. 3° - Poderão ser aceitas matrículas em no máximo 2 (duas) disciplinas isoladas por semestre, para cada solicitante.\nParágrafo único. Serão consideradas exceções outras situações que não estão incluídas nas rotinas acadêmicas como: matrículas em disciplinas orientadas; matrículas em disciplinas para alunos estrangeiros e, matrículas em disciplinas para alunos estrangeiros que necessitam validar o Diploma.\n\nArt. 4° - A partir das inscrições, caberá ao Colegiado de Ensino definir:\nI - disciplinas possíveis de serem cursadas pelo candidato;\nII - pré-requisitos;\nIII - número de vagas disponíveis;\nIV - procedimentos de matrícula;\nV - direitos e deveres, respeitados o Estatuto e Regimento Geral da UDESC e os termos da presente Resolução.', 'Art. 5° - O aluno matriculado em disciplinas isoladas deverá submeter-se a verificação da aprendizagem, assegurando-lhe:\nI – o registro no histórico escolar, quando se tratar de aluno de outro curso da UDESC; e\nII – certificado de conclusão, de acordo com o Artigo 253 do Regimento Geral, quando se tratar de alunos da comunidade ou de outra instituição de ensino superior.\n\nArt. 6º – O registro e o controle Acadêmico dos alunos matriculados em disciplinas isoladas deverão ser feitos pela estrutura já existente no respectivo Centro.\n\nArt. 7º – Os alunos matriculados em disciplinas isoladas serão supervisionados pelo\nCoordenador de Colegiado de Ensino.\n\nArt. 8º – Os casos omissos serão analisados pelo Colegiado de Ensino.\n\nArt. 9º – Fica revogada a Resolução nº 016/2005-CONSEPE.']","De acordo com o Art. 3°, poderão ser aceitas matrículas em no máximo 2 (duas) disciplinas isoladas por semestre para cada solicitante.","Cada solicitante pode se matricular em no máximo duas disciplinas isoladas por semestre, salvo exceções previstas, como disciplinas orientadas ou casos de alunos estrangeiros que necessitam validar o diploma.",0.5,0.9321685061099728,0.9999999999,1.0,0.48360470648776543,005-2009-cpe
Quais disciplinas podem ser oferecidas em caráter de Estudo Dirigido?,"['# Chunks do arquivo 022-2011-cpe.pdf\n\n## Chunk 1\n```\nArt. 1º O caput do art. 3º da Resolução 034/2009 - CONSEPE, de 24 de novembro de 2009, passa a vigorar com a seguinte redação: “\n\nArt. 3° As disciplinas oferecidas por meio de Estudo Dirigido são aquelas constantes das matrizes curriculares, incluindo as optativas, eletivas e tópicos especiais, mantidas pela UDESC, que já tenham sido extintas, ou estejam em fase de extinção.”.\n\nArt. 2º Esta Resolução entra em vigor nesta data.\n\nArt. 3º Ficam revogadas as disposições em contrário.\nFlorianópolis, 22 de setembro de 2011.\nProfessora Sandra Makowiecky\nPresidente do CONSEPE\nUniversidade do Estado de Santa Catarina\nREITORIA UDESC\nAv. Madre Benvenuta, 2007 – Itacorubi – 88.035-001\nFlorianópolis SC Fone (48) 3231 1503 – www.udesc.br\n```', 'Art. 4º O(a) Chefe de Departamento do Curso deverá solicitar a Direção Geral portaria de transição curricular na qual deverá constar os aspectos do processo de reestruturação, a saber:\nI – prazo para extinção do currículo antigo e oferecimento de disciplinas;\nII – data de implantação do novo currículo;\nIII - prazo para solicitação de migração;\nIV – forma de migração do currículo em extinção para o novo currículo;\nV - tabela de equivalência de disciplinas, quando for o caso.\n\nArt. 5º As disciplinas cursadas no currículo em extinção e que não tenham equivalência na nova matriz curricular deverão permanecer no histórico escolar do(a) acadêmico(a).\n\nArt. 6º As disciplinas do currículo em extinção, se necessário, poderão ser oferecidas de acordo com as normativas da Universidade.']","As disciplinas oferecidas por meio de Estudo Dirigido são aquelas constantes das matrizes curriculares, incluindo as optativas, eletivas e tópicos especiais, mantidas pela UDESC, que já tenham sido extintas, ou estejam em fase de extinção.","Podem ser oferecidas disciplinas da matriz curricular da UDESC que foram extintas, estão em extinção ou possuem equivalência parcial com as novas matrizes.",0.6,0.9754232396398941,0.9999999999,0.0,0.6628585840674166,"022-2011-cpe, 032-2014-cpe"
Quais condições o aluno deve atender para se inscrever no Exame de Suficiência?,"['§ 2º - O não comparecimento a Exame de Suficiência a que o aluno se inscreveu, se por motivos e situações previstas em Lei, não é considerado efetiva realização do Exame, para efeitos do que dispõe o inciso III deste artigo.\n§ 3º - O aluno que se inscreveu e não compareceu por motivos e situações previstas em Lei, poderá requerer a 2ª inscrição no semestre subseqüente, na Secretaria Acadêmica do\nCentro.\n§ 4º - Perde o direito de requerer a 2ª inscrição para a mesma disciplina o aluno que faltar sem justificativa.\n§ 5º - A inscrição do aluno para Exame de Suficiência será analisada pela Secretaria\nAcadêmica, para deferimento, se atendidas as condições expressas neste artigo.\n§ 6º - Se a inscrição for deferida a Secretaria Acadêmica encaminhará a solicitação ao\nCoordenador de Curso.', 'Art. 10 - O Exame de Suficiência será aplicado por Banca Examinadora especial e/ou delegação de competência, designada pelo Coordenador de Curso.\n\nArt. 11 - Após a divulgação da relação de inscrições deferidas, a Secretaria Acadêmica divulgará a data, o horário, o local e os responsáveis pela aplicação do exame de suficiência, por disciplina.\n\nArt. 12 - O Exame de Suficiência manterá o mesmo grau de amplitude e profundidade exigido dos alunos com matrícula presencial, atribuindo nota de 0 (zero) a 10 (dez), com um decimal.\nParágrafo único - Será considerado aprovado no Exame de Suficiência o aluno que alcançar nota igual ou superior a 7,0 (sete vírgula zero).\n\nArt. 13 - Após aplicação do Exame de Suficiência, a Secretaria Acadêmica efetuará o registro das notas dos alunos.']",Não foi possível encontrar a informação no contexto fornecido.,"O aluno deve cumprir pré-requisitos, não ter sido reprovado, não ter feito exame antes, não ter faltado previamente e apresentar documentos que comprovem conhecimento ou habilidade.",0.0,0.0,0.0,0.0,0.20210456253737044,032-2004-cpe
Como funciona a avaliação do extraordinário aproveitamento?,"['Art. 3º O acadêmico interessado em comprovar extraordinário aproveitamento de estudos deverá instaurar processo junto à Secretaria de Ensino de Graduação do Centro, com pedido dirigido à Chefia do Departamento do respectivo curso.\nParágrafo Único. O período para solicitar o extraordinário aproveitamento de estudos é 30 dias antes do término do semestre letivo.', 'Art. 6º Caberá ao Chefe do Departamento, em face da comprovação do extraordinário aproveitamento de estudos pelo acadêmico, enviar o processo contendo a prova e as atas avaliativas à Secretaria de Ensino de Graduação para registro e posterior arquivamento.\n\nArt. 7º O acadêmico que obtiver abreviação de estudos, na forma desta Resolução, terá consignado em seu histórico escolar o conceito “Extraordinário Aproveitamento”, bem como a nota obtida no processo de comprovação em causa.\n\nArt. 8º O processo de aceleração de estudos disciplinado nesta Resolução deverá ser encerrado, com decisão final, em no máximo 60 (sessenta) dias após seu início.\n\nArt. 9º Os casos omissos nesta Resolução deverão ser encaminhados pelo Colegiado\nPleno do Departamento ao CONSEPE.']",A comprovação do extraordinário aproveitamento de estudos é feita por meio de uma prova e de atas avaliativas. A nota obtida neste processo é consignada no histórico escolar do acadêmico.,"A avaliação é feita por Banca Examinadora de 3 professores, com provas sobre todo o conteúdo da disciplina; a nota é a média aritmética, e mínimo 9,0 garante aprovação sem exame final.",1.0,0.9289518951540338,0.0,0.0,0.4257402677661792,020-2015-cpe
